temperature,humidity,fan_on
28.9,84.3,1
28.9,81.8,1
28.4,83.5,1
29.1,84.2,1
29.0,81.9,1
28.6,83.5,1
28.3,82.9,1
28.4,81.8,1
29.9,81.7,1
29.5,80.6,1
29.5,82.9,1
29.2,78.6,1
29.4,79.5,1
28.8,77.9,1
29.2,77.7,1
29.5,79.1,1
28.9,78.3,1
28.5,79.9,1
28.9,78.5,1
28.4,77.4,1
28.5,61.3,1
28.4,61.9,0
28.4,79.7,1
28.9,78.6,1
28.3,77.4,1
28.0,64.2,1
28.4,61.9,0
28.6,79.1,1
28.9,77.6,1
28.5,76.7,1
28.4,81.2,1
28.8,78.4,1
28.3,82.9,1
28.4,83.4,1
28.7,79.4,1
28.5,82.0,1
28.9,83.1,1
28.1,82.2,1
28.1,81.4,1
28.9,82.3,1
28.2,82.5,1
28.0,81.3,1
28.9,82.0,1
28.3,82.4,1
28.2,81.3,1
28.0,81.8,1
28.4,81.5,1
28.6,81.2,1
27.5,86.1,1
27.8,84.3,1
27.4,80.8,1
27.4,85.5,1
27.6,84.3,1
27.9,81.6,1
27.4,83.2,1
27.8,85.2,1
27.9,82.2,1
28.4,84.3,1
28.9,79.6,1
28.0,85.1,1
28.8,83.8,1
28.5,86.0,1
27.9,83.8,1
28.3,83.8,1
28.8,84.9,1
28.3,83.0,0
28.3,83.8,1
28.2,83.4,1
29.0,83.2,0
28.0,83.5,1
28.3,82.6,1
28.9,84.5,1
30.4,80.7,1
28.9,82.3,1
29.3,79.4,1
30.5,80.4,1
29.1,81.2,1
29.1,79.8,1
28.3,86.5,1
28.3,86.1,1
28.4,84.8,1
29.4,87.4,1
28.8,81.2,1
28.3,82.5,1
29.5,84.7,1
28.7,81.8,0
28.3,83.2,1
28.6,83.8,1
28.8,80.1,1
28.1,83.8,1
28.5,75.1,1
28.8,74.1,1
29.1,69.1,0
28.7,73.8,1
28.9,71.3,1
29.0,68.4,0
28.9,73.7,0
29.1,80.0,0
29.3,71.7,0
29.0,72.6,1
29.2,74.6,1
29.0,74.2,1
28.8,72.8,1
29.0,70.9,1
28.7,69.1,1
28.9,75.5,1
29.0,71.3,1
29.1,72.6,1
29.0,70.6,1
29.1,70.4,1
29.3,74.2,1
29.2,70.6,1
29.1,72.0,1
29.1,76.2,1
29.5,76.5,1
29.3,71.5,1
29.0,75.6,1
29.5,76.9,0
29.3,72.5,1
28.4,76.3,1
29.2,77.5,1
29.4,70.8,1
29.0,73.1,1
29.0,70.8,1
28.9,71.3,1
29.2,73.8,1
29.2,70.2,1
28.8,70.3,0
28.6,71.3,1
28.9,69.6,1
28.8,72.6,0
28.7,69.8,0
28.9,67.8,0
28.8,70.5,0
28.8,69.7,0
28.9,68.0,0
28.8,70.3,0
29.0,68.5,1
28.9,70.2,1
27.5,63.3,0
27.2,63.9,1
27.8,60.8,0
27.9,62.6,1
28.7,62.9,0
29.3,53.8,1
28.7,64.6,1
28.2,64.6,0
29.1,53.0,1
28.9,64.2,1
28.1,63.1,0
27.8,64.4,1
28.4,59.2,0
28.0,57.1,1
29.0,44.4,1
28.5,57.5,0
28.4,56.6,1
28.8,56.8,0
28.3,52.6,1
29.3,43.9,1
26.6,59.3,1
28.0,56.4,1
28.1,62.9,0
26.6,58.6,1
27.9,56.3,1
28.6,59.9,0
29.2,62.7,1
28.6,61.8,0
28.6,62.3,0
29.3,59.1,1
28.6,61.6,0
28.5,54.9,1
28.5,46.7,1
28.0,54.6,1
28.4,57.1,1
28.3,60.1,1
26.2,63.9,0
26.2,63.9,0
26.1,63.7,0
26.5,62.5,1
26.4,62.4,1
26.2,63.3,0
26.2,63.2,0
26.3,60.0,0
28.3,55.4,0
26.2,54.2,1
27.1,56.1,0
26.0,54.5,0
26.7,59.3,0
26.1,57.3,0
25.5,54.0,1
26.5,56.0,0
25.7,55.2,0
26.9,55.5,0
25.3,53.6,1
26.0,52.2,0
26.2,56.3,0
26.7,59.3,0
27.1,59.4,0
26.3,56.8,0
25.3,58.9,0
26.2,57.2,0
26.0,53.1,0
25.9,53.9,0
26.1,52.7,0
26.8,70.3,1
27.0,57.1,0
25.8,51.6,0
27.1,55.9,0
26.1,52.2,0
24.2,43.8,0
24.9,41.3,0
25.8,49.9,0
24.9,45.0,0
25.0,46.9,0
24.8,46.4,0
24.9,43.8,0
25.4,47.5,0
25.2,47.4,0
24.9,42.2,0
25.7,42.0,0
25.2,49.2,0
25.1,40.6,0
25.8,41.9,0
25.2,48.3,0
25.4,43.5,0
25.8,39.5,0
25.0,46.9,0
25.5,41.4,0
25.6,40.3,0
25.1,45.7,0
25.5,43.7,0
25.1,50.5,0
25.8,54.8,0
25.0,40.7,0
25.1,39.9,0
25.4,40.4,0
25.8,43.7,0
24.6,48.8,0
25.4,40.5,0
26.0,42.5,0
25.0,47.9,0
25.2,40.8,0
25.9,41.7,0
25.0,48.3,0
25.7,49.2,0
25.7,43.7,0
25.6,46.3,0
25.8,44.9,0
26.4,47.3,0
26.3,53.6,0
26.4,64.8,1
26.2,50.0,0
25.8,44.0,0
25.9,50.6,1
30.7,62.0,1
30.7,62.1,1
30.5,67.1,1
30.7,61.6,1
30.7,61.9,1
30.5,67.0,1
31.3,59.6,1
31.2,59.6,1
30.7,64.3,1
31.3,59.2,1
31.2,59.6,1
30.6,64.4,1
31.1,59.0,1
31.2,59.8,1
30.6,64.5,1
30.9,61.6,1
31.1,61.1,0
30.7,64.7,1
30.9,61.2,0
31.7,61.2,1
30.5,66.0,1
30.9,61.6,0
31.3,60.4,1
30.6,65.9,1
30.7,58.4,1
31.4,60.2,1
30.4,66.4,1
30.6,58.3,1
31.5,60.1,1
30.4,65.6,1
31.3,59.1,1
31.3,59.1,1
31.1,65.4,1
31.2,59.2,1
31.6,61.0,1
31.4,63.8,1
31.5,58.5,1
31.6,59.7,1
31.3,63.9,1
31.3,59.2,1
31.7,60.3,1
31.3,64.0,1
31.0,58.1,1
31.2,59.4,1
31.0,64.1,1
30.9,58.2,1
31.3,58.1,1
31.1,64.6,1
31.0,60.4,1
31.5,60.8,0
31.3,65.0,0
31.0,65.3,0
31.2,65.0,0
31.0,65.7,0
31.4,65.1,0
31.1,65.0,1
31.0,73.9,1
31.3,70.1,1
31.1,68.7,0
31.2,66.3,1
31.0,68.3,0
31.2,66.4,1
31.8,71.2,1
32.1,70.0,1
31.8,71.9,1
32.1,68.5,1
31.9,70.9,1
32.1,68.1,1
30.8,69.8,1
30.9,71.0,1
31.5,67.6,1
31.8,65.1,1
31.5,69.5,1
31.8,65.4,1
30.9,71.0,1
30.4,68.3,1
31.6,65.6,1
30.6,62.5,1
30.7,68.6,1
30.7,67.8,1
28.1,60.0,0
28.2,59.4,0
30.5,69.5,1
31.0,62.3,1
30.9,60.8,1
33.3,56.6,1
32.6,62.7,1
33.3,56.5,1
32.6,62.4,1
33.3,62.0,0
32.5,63.1,1
33.0,59.5,1
34.2,63.7,1
33.1,59.4,1
34.2,64.1,1
33.6,60.2,1
32.6,64.2,1
33.6,61.6,1
32.6,64.4,1
27.4,83.3,0
27.8,79.0,1
27.6,78.3,1
27.6,82.1,1
27.8,77.8,0
27.9,77.3,1
28.9,78.1,1
27.7,77.3,1
28.7,78.9,1
27.7,77.1,1
28.7,81.8,1
28.7,80.0,1
27.7,79.1,1
27.7,79.3,1
27.5,79.2,1
27.6,80.0,1
27.7,79.5,1
27.7,78.3,0
27.8,77.1,0
28.1,79.3,0
27.5,78.3,0
28.1,79.7,1
28.0,81.8,1
28.1,79.4,1
28.6,76.9,1
28.8,78.6,1
28.6,76.5,1
28.5,76.3,1
28.9,77.7,1
28.7,76.8,1
28.6,76.6,1
29.1,78.9,1
29.0,76.0,0
27.3,77.3,1
28.4,75.4,1
28.4,76.9,1
28.1,76.7,0
28.2,75.4,0
28.4,75.3,0
28.1,75.6,0
28.2,75.5,0
27.7,75.6,0
28.8,80.0,1
29.1,82.6,1
29.4,82.0,1
