temperature,humidity,fan_on
26.5,98.0,0
34.3,85.1,1
33.4,82.6,1
22.0,95.0,0
24.3,62.2,0
33.1,74.0,1
22.0,79.2,0
31.5,80.6,1
31.4,62.3,0
24.2,86.7,0
22.0,90.5,0
30.9,46.8,1
26.2,67.5,0
32.7,60.7,1
24.3,82.9,0
28.8,76.4,1
24.5,61.4,0
28.2,59.2,0
38.9,70.9,1
28.0,56.1,1
31.8,63.5,0
24.2,82.0,0
22.9,77.1,0
32.7,67.9,1
34.0,71.3,1
25.1,78.1,0
28.8,86.8,1
34.7,64.6,1
22.0,82.3,0
26.3,73.9,0
22.8,73.9,0
31.3,71.0,1
23.4,92.7,0
25.7,77.9,0
36.3,77.5,1
22.6,82.3,0
33.1,66.1,1
32.7,81.6,1
31.5,67.8,1
31.2,62.6,1
29.2,70.5,0
22.0,81.9,0
34.1,73.9,1
22.0,87.4,0
22.0,73.1,0
33.2,66.4,0
30.7,72.0,1
30.9,86.7,1
29.3,79.8,1
25.6,68.9,0
29.2,64.9,0
26.4,57.8,0
33.7,75.6,1
25.3,87.1,0
22.0,74.7,0
23.3,92.4,0
22.0,89.5,0
31.1,86.5,0
32.3,71.7,1
25.1,80.3,0
31.7,74.2,1
23.3,76.0,0
32.4,70.6,0
22.9,83.2,1
23.3,81.7,0
31.7,70.6,1
27.3,71.8,0
31.0,57.2,1
24.1,83.4,0
25.7,76.0,0
28.0,66.5,0
31.3,85.8,1
25.8,87.6,0
28.6,67.7,1
22.0,79.5,0
26.6,56.3,0
30.5,81.3,0
24.2,78.6,0
29.8,88.3,1
24.4,77.5,0
26.7,93.3,0
31.3,68.6,1
29.1,73.6,0
31.0,63.5,1
33.0,77.2,1
31.5,86.3,1
31.8,74.6,1
29.0,75.0,0
28.5,78.1,1
28.7,66.6,1
30.0,87.2,1
23.2,73.4,0
28.1,75.3,1
25.1,83.7,0
35.4,48.8,1
22.6,81.2,0
22.7,74.4,0
31.2,63.2,1
32.4,68.4,1
28.5,82.9,1
23.7,68.2,0
32.2,77.4,1
23.8,71.4,1
29.0,57.1,0
32.3,87.0,1
22.0,65.9,0
29.4,76.4,1
28.8,69.4,1
29.6,67.3,1
22.0,65.4,0
22.0,75.5,0
23.5,72.0,0
23.2,73.0,0
27.4,84.7,1
26.3,74.1,0
23.5,81.6,0
24.3,92.7,0
26.2,58.3,0
31.2,68.0,1
33.1,74.9,1
27.6,65.0,1
26.9,62.7,0
32.6,59.8,0
22.0,71.3,0
23.3,56.6,0
23.4,92.1,0
22.0,68.9,0
33.7,57.8,1
33.3,64.3,1
29.2,62.0,1
29.4,69.2,1
29.2,70.7,1
26.0,70.6,0
24.6,92.6,0
31.8,64.1,1
34.4,66.9,1
27.7,87.6,1
32.4,76.6,1
27.7,86.3,1
25.4,64.0,0
24.4,69.1,0
26.5,93.0,0
24.1,80.4,0
23.3,80.7,1
26.3,75.8,0
30.9,78.6,1
26.1,84.1,0
27.5,92.2,1
32.4,68.8,1
29.0,73.1,1
24.6,69.2,0
30.0,73.4,1
29.4,75.0,0
24.3,78.4,0
28.5,94.2,1
26.2,84.4,0
27.6,65.1,0
27.8,86.4,1
26.0,69.1,0
32.1,78.3,1
29.0,66.4,0
26.8,59.0,0
23.9,98.0,0
29.2,76.9,1
31.9,72.8,1
24.0,72.9,0
30.5,76.5,1
25.2,82.0,0
28.7,61.7,0
25.5,98.0,0
33.1,64.2,1
22.8,73.5,0
31.0,80.6,1
28.0,58.4,0
31.2,82.8,1
26.2,89.7,0
25.5,64.2,0
23.1,63.4,0
22.0,78.5,0
29.1,72.7,1
30.0,77.9,1
22.5,75.1,0
25.6,64.3,0
30.4,62.5,1
30.1,90.7,1
22.0,74.8,0
28.1,80.8,1
28.5,65.6,1
25.0,72.0,0
29.4,71.4,0
32.3,55.0,1
22.2,71.3,0
34.5,63.3,1
27.5,66.9,1
30.9,90.1,1
34.7,76.6,1
22.1,92.0,0
25.4,81.7,0
32.7,64.0,1
30.5,66.1,1
31.7,88.1,1
24.0,83.1,0
28.0,69.9,0
34.9,85.5,1
27.8,69.5,0
27.5,76.3,1
26.9,65.9,0
29.8,66.7,0
29.7,83.6,1
29.5,74.4,1
27.5,73.3,0
25.1,73.3,0
32.3,67.8,1
30.9,69.6,1
25.7,69.2,0
31.9,70.5,1
28.4,77.9,1
22.0,82.5,0
29.5,65.9,1
22.0,59.0,1
37.7,58.6,1
24.0,87.9,0
29.3,73.7,1
25.4,83.9,0
25.3,76.3,0
28.7,58.9,1
25.6,70.7,0
33.5,69.8,1
30.4,63.8,1
29.0,71.5,1
32.2,62.6,1
26.2,89.7,0
28.8,74.0,0
25.6,71.7,0
33.1,58.7,0
22.8,87.1,0
22.0,75.1,0
26.7,67.8,0
29.2,71.1,1
33.0,72.0,1
29.3,64.6,0
31.5,73.1,1
24.8,55.7,1
27.0,76.4,0
32.9,62.3,1
22.0,72.2,0
30.8,69.6,1
22.0,86.2,0
28.0,65.3,0
22.0,83.2,0
25.6,65.4,0
35.7,76.7,1
25.1,81.8,0
30.8,74.9,1
22.0,74.5,0
30.6,70.9,1
37.1,70.4,1
22.0,95.0,0
25.4,68.6,0
23.4,66.1,0
31.4,73.3,1
30.7,83.1,0
33.3,75.3,1
30.0,78.2,1
26.2,56.7,0
29.4,73.8,1
30.8,79.3,1
25.8,88.9,0
24.4,55.8,0
24.2,79.6,1
34.9,60.9,1
25.2,90.8,0
26.7,84.9,0
28.9,54.9,1
29.3,77.0,1
25.3,95.3,0
25.8,77.3,0
33.1,79.6,1
29.1,75.5,1
27.4,76.1,1
32.6,69.2,1
27.3,64.3,0
31.6,79.7,0
37.8,71.1,1
33.6,70.5,1
27.7,87.1,1
30.7,75.5,1
29.9,78.5,1
25.2,77.5,0
28.0,71.1,1
22.0,70.6,0
29.7,64.7,0
27.7,66.9,0
29.1,75.6,1
26.2,54.9,0
27.7,68.0,0
32.5,94.1,1
30.8,76.4,1
32.0,65.8,0
35.9,60.2,1
28.8,61.7,1
29.2,77.2,1
22.0,77.8,0
25.4,54.7,0
30.7,73.7,1
32.4,67.8,1
28.1,66.6,1
27.3,92.0,1
27.4,76.7,1
27.8,77.5,1
29.3,77.2,1
25.2,70.1,0
25.5,80.1,0
22.8,83.5,0
25.6,72.7,0
33.3,85.8,1
28.8,75.9,1
29.5,82.3,1
23.9,85.1,0
29.2,81.6,1
30.8,66.5,1
29.4,70.2,1
37.4,63.4,1
27.6,66.4,0
28.7,77.2,0
23.9,60.0,0
29.3,79.4,1
26.4,81.6,0
29.7,74.6,0
22.3,87.0,1
31.9,49.2,1
37.7,72.4,1
30.6,62.9,1
26.4,91.6,0
29.0,76.8,1
22.0,59.5,0
29.1,82.2,1
36.3,81.7,0
26.9,65.2,0
29.7,80.3,1
31.6,76.8,1
29.9,77.6,0
24.5,76.1,0
23.9,85.9,0
35.4,45.9,1
27.5,70.4,0
23.7,76.5,0
22.0,68.8,0
23.8,57.1,0
33.5,74.3,1
31.7,90.0,1
24.6,73.8,0
37.1,83.9,1
28.4,69.8,1
25.7,73.4,0
33.1,66.1,1
33.6,81.9,1
35.2,64.2,1
34.6,62.5,1
29.2,70.2,1
35.2,74.5,1
26.4,69.9,0
29.5,69.0,0
24.8,63.8,0
22.0,71.4,0
29.4,94.6,1
29.3,84.5,1
33.5,70.2,1
25.4,85.2,0
26.3,64.7,0
26.9,84.6,0
27.1,69.3,0
22.0,89.5,0
27.1,74.8,0
27.2,81.0,1
22.0,76.1,0
31.1,77.2,1
23.8,86.2,0
25.7,76.9,0
34.6,62.1,0
27.2,79.0,1
24.5,84.3,0
24.7,93.9,0
26.5,83.6,0
30.8,60.7,1
31.6,78.7,1
29.1,62.1,1
28.7,83.5,1
22.0,82.4,0
29.0,67.6,1
24.1,95.5,0
32.9,68.3,1
28.2,70.9,1
24.5,74.0,0
26.3,70.0,0
30.7,73.9,1
26.7,85.7,0
26.1,98.0,0
31.3,71.3,1
32.0,65.0,1
29.8,87.6,1
31.7,60.5,1
27.3,61.5,0
26.6,66.9,0
27.8,64.4,0
32.7,60.7,1
30.5,62.7,1
31.6,72.8,1
27.8,85.2,1
27.3,83.1,0
29.7,92.1,1
27.1,65.2,0
32.5,77.7,1
26.7,62.3,0
28.1,82.4,1
25.5,65.0,0
29.1,63.6,1
22.5,70.6,0
31.9,76.3,1
26.4,77.1,0
24.1,76.7,0
24.6,74.2,0
29.2,80.8,0
24.2,66.1,1
22.0,79.4,0
25.9,91.4,0
28.6,87.6,0
29.6,89.5,1
27.4,80.0,1
36.5,66.8,1
25.3,88.8,0
33.4,83.8,1
31.8,80.9,0
22.0,79.5,0
29.7,73.5,0
25.9,85.4,0
35.8,65.8,1
31.4,76.4,1
30.8,74.9,1
34.6,80.3,1
35.7,47.5,1
28.5,59.3,1
37.5,87.3,1
33.0,75.8,1
24.5,75.3,0
24.1,72.8,0
35.5,60.0,1
23.7,69.1,0
30.7,80.8,1
23.0,98.0,0
33.7,52.7,1
31.1,65.6,1
27.4,75.2,1
25.4,78.7,0
27.8,74.4,1
33.6,65.6,1
26.4,58.1,0
29.9,86.3,1
25.9,70.9,0
27.6,67.0,0
32.2,72.0,1
30.4,79.5,1
29.3,83.3,1
22.0,88.3,0
25.9,81.4,0
29.3,85.5,1
22.6,79.3,0
27.9,75.0,0
24.7,72.0,0
30.7,79.7,1
29.0,86.5,1
30.5,72.9,1
26.4,79.3,0
30.5,77.1,1
30.9,49.9,1
30.8,83.7,1
23.3,76.8,0
30.9,76.0,1
34.1,66.3,1
26.7,63.2,0
26.6,76.3,0
28.4,48.0,1
25.6,71.4,0
29.6,59.6,1
22.8,97.9,0
33.7,68.1,0
22.0,53.0,0
30.1,72.3,1
33.3,56.6,1
34.5,80.3,1
22.4,87.0,0
32.2,86.8,1
27.3,66.5,0
33.1,71.9,1
26.4,70.3,0
29.2,80.3,1
26.5,76.5,1
36.4,72.2,1
29.6,65.1,1
33.6,77.5,1
33.7,73.1,1
31.8,57.8,1
27.3,76.7,1
27.9,72.8,0
28.8,77.2,1
22.0,80.4,0
29.1,74.4,0
30.8,55.6,1
35.0,57.1,1
32.9,68.3,1
34.0,75.3,1
22.0,84.0,0
30.6,83.9,1
22.0,71.3,0
30.3,84.9,1
26.8,74.4,0
27.1,62.4,0
22.0,80.7,0
26.5,76.6,1
23.0,86.2,0
25.5,98.0,0
24.1,79.8,1
27.0,82.8,1
33.3,78.6,1
28.6,60.6,1
37.5,71.8,1
32.8,68.8,1
31.7,64.2,1
33.8,66.8,1
27.1,76.8,1
25.1,59.2,1
24.7,80.8,1
32.6,65.0,1
27.8,90.2,1
32.7,80.2,1
26.9,82.5,0
27.3,64.5,0
29.8,80.4,0
28.1,70.0,0
22.8,89.0,0
28.2,90.4,1
27.3,70.9,0
24.8,85.2,0
31.6,65.3,1
29.1,79.2,1
24.1,91.3,0
23.8,70.4,0
28.4,94.7,0
34.1,64.2,1
22.7,66.5,0
28.9,80.0,1
27.3,56.2,1
33.5,88.2,1
30.8,72.8,1
34.6,76.8,1
24.4,94.1,0
28.0,71.5,0
32.2,51.5,1
35.6,81.6,1
26.7,78.1,0
32.5,89.7,1
32.7,77.3,1
35.0,69.1,1
23.5,74.9,0
27.3,64.5,0
27.7,59.1,0
22.0,82.1,0
32.2,87.4,1
25.0,71.6,0
28.3,78.2,1
28.4,83.7,1
30.7,73.4,1
23.4,83.1,0
29.8,80.6,0
26.5,74.4,1
30.0,54.5,1
30.4,73.0,1
27.3,76.0,1
25.4,62.1,0
22.0,97.1,0
23.7,79.3,0
26.7,82.4,0
26.8,91.0,0
28.0,72.5,0
34.0,98.0,1
30.0,98.0,1
26.1,93.2,0
31.8,62.8,1
25.2,81.5,0
29.1,52.4,1
24.9,95.8,0
28.0,52.0,0
37.0,67.4,1
31.0,77.6,0
30.8,73.1,1
29.9,54.5,1
27.4,83.4,1
22.0,78.1,0
28.3,86.6,1
32.9,66.7,1
25.3,88.9,0
23.0,84.2,0
23.0,83.4,0
22.0,82.2,0
27.0,65.1,0
33.4,62.4,1
28.0,94.5,1
22.0,94.2,1
29.7,72.6,0
26.7,77.5,0
26.1,98.0,0
25.0,79.2,0
22.0,82.1,0
23.7,82.6,0
31.5,90.6,1
27.3,89.6,1
23.4,75.6,0
32.0,98.0,1
28.1,80.6,1
25.9,75.3,0
23.7,87.5,0
23.2,73.5,0
31.0,82.9,0
30.2,61.2,1
33.3,57.6,1
26.7,56.1,1
25.7,69.8,0
33.6,78.3,1
25.7,66.7,0
27.6,83.5,1
25.5,86.5,0
28.5,63.7,1
28.4,60.5,0
30.7,74.3,1
26.6,78.9,1
27.2,82.9,1
23.5,74.7,0
27.6,68.8,0
27.8,57.8,0
24.5,70.5,0
34.1,66.2,1
24.1,77.3,0
32.3,67.9,1
24.3,70.5,0
22.0,93.8,0
31.9,84.4,1
22.8,81.4,0
26.4,72.6,0
24.6,86.0,0
22.0,95.4,0
34.5,75.2,1
35.5,89.4,1
27.8,70.1,0
22.0,71.0,0
23.5,63.8,0
28.4,55.2,1
32.7,53.3,0
23.9,86.7,0
26.5,86.8,0
31.0,65.6,1
32.0,53.9,1
22.0,68.7,0
36.1,76.7,1
26.3,69.7,0
23.3,78.3,0
26.7,72.9,0
22.0,81.6,0
32.0,78.0,1
35.3,69.3,1
30.8,85.9,1
29.0,65.7,0
35.9,71.5,1
25.4,87.4,0
27.9,60.2,1
27.4,83.0,1
25.8,60.4,1
28.6,79.1,0
26.4,63.3,1
29.2,78.5,1
27.4,84.8,1
22.0,93.3,0
26.3,78.1,0
22.9,95.1,0
26.2,86.0,0
36.4,79.8,1
31.7,55.8,1
30.3,71.8,1
34.9,46.5,1
34.1,65.9,1
26.5,90.2,0
30.6,77.9,1
23.5,89.6,0
28.0,82.3,1
25.5,86.4,0
33.6,98.0,1
22.0,78.2,0
22.0,80.1,0
22.0,81.2,0
35.2,73.9,1
29.5,77.2,1
25.5,72.7,0
25.8,74.1,0
23.4,84.2,0
34.5,83.5,1
24.8,69.7,0
24.1,89.8,0
23.8,60.4,0
32.5,68.0,0
25.0,80.9,0
22.0,89.4,0
27.6,57.3,0
33.8,71.9,1
30.8,68.5,1
26.0,85.9,0
29.6,85.2,1
22.8,74.8,0
24.9,94.8,0
30.1,69.8,1
25.1,65.5,0
26.0,74.9,0
31.6,87.0,1
28.6,73.3,1
24.6,75.9,0
33.7,59.1,1
22.0,87.1,0
28.6,71.3,1
29.7,80.5,1
29.8,82.7,1
28.4,76.5,1
32.9,63.8,1
33.0,58.5,1
27.8,77.7,1
34.2,71.8,1
36.6,58.7,1
29.0,78.7,1
26.2,83.9,0
29.0,77.2,1
22.0,85.5,0
33.1,62.6,1
32.1,74.9,1
30.7,80.0,0
22.0,72.1,0
29.4,63.2,1
28.0,60.4,1
31.2,56.1,1
31.7,65.1,1
25.3,73.3,0
27.5,69.1,0
30.8,87.7,1
31.3,66.4,1
22.9,68.8,0
32.2,74.1,1
28.9,59.7,1
30.8,77.4,1
29.2,78.3,1
22.6,64.1,0
31.4,53.8,1
32.6,70.1,1
29.3,62.8,1
32.2,71.2,1
23.5,57.7,0
22.7,82.8,1
27.2,81.0,1
28.0,55.7,0
27.6,92.9,1
31.7,67.4,1
28.3,82.6,1
22.0,84.3,0
28.4,84.3,1
31.1,67.9,1
31.8,65.8,0
32.1,83.9,1
26.2,69.7,0
27.2,66.0,0
33.0,76.6,1
34.7,68.0,1
22.0,74.8,0
29.4,48.3,1
27.3,77.7,1
30.7,78.7,1
31.5,68.4,1
32.9,63.1,1
27.0,50.8,0
30.8,56.4,1
30.1,87.6,1
24.4,91.7,0
28.3,64.3,1
33.7,69.2,1
22.0,76.4,0
27.1,80.3,1
31.5,74.2,1
31.9,85.6,1
30.8,73.0,1
31.6,64.9,1
30.6,93.6,1
29.3,62.4,1
30.7,76.0,1
27.4,76.0,1
27.9,58.1,0
25.6,83.6,1
32.3,82.8,1
26.5,72.6,0
27.7,77.4,1
33.4,74.5,0
24.0,66.2,1
32.9,65.4,1
27.9,62.5,0
29.5,87.8,1
23.3,77.2,0
29.6,83.1,0
30.2,63.2,1
33.4,86.5,1
25.7,90.4,0
32.3,73.3,1
29.8,52.2,1
30.0,64.4,0
37.6,66.8,1
22.0,89.3,0
28.4,79.0,1
28.3,74.2,0
25.3,58.1,0
31.2,75.4,1
26.6,96.9,1
35.9,60.0,1
27.8,86.6,1
26.8,98.0,0
32.4,78.5,1
34.3,71.1,1
26.8,69.8,0
26.5,67.7,0
31.2,76.1,1
24.5,69.2,0
36.4,69.8,1
31.5,53.8,1
23.8,83.1,0
23.3,75.6,0
26.0,86.4,1
26.8,68.8,0
29.8,91.5,1
27.0,68.0,0
25.9,97.9,0
28.3,77.3,1
35.0,70.6,1
31.1,69.8,1
25.3,78.6,0
33.7,60.8,0
29.7,75.9,1
22.6,90.2,0
31.3,66.7,1
24.6,72.3,0
25.0,61.9,0
28.6,61.1,1
27.3,70.6,0
25.7,53.3,0
30.3,78.4,1
32.4,78.4,1
30.6,61.1,1
33.4,58.7,1
22.0,69.6,0
25.8,89.1,0
23.1,91.7,0
34.4,63.1,1
32.1,81.3,1
22.0,69.9,0
28.1,62.4,1
28.2,70.8,1
24.0,86.7,0
25.2,79.8,0
30.0,81.5,0
28.1,55.4,0
34.2,82.8,1
26.0,92.1,0
22.0,93.0,0
22.0,69.1,1
30.6,80.6,1
32.7,77.9,1
25.4,85.5,0
26.0,65.6,0
29.1,83.7,1
32.2,86.4,1
32.7,82.3,1
23.4,63.3,1
31.8,72.0,1
22.0,68.0,0
28.7,90.6,1
24.6,59.2,0
35.1,76.8,1
26.0,82.3,0
32.8,79.8,1
28.7,76.2,1
29.6,73.9,1
23.6,84.2,0
32.3,80.3,1
28.2,92.5,1
28.8,58.9,0
30.6,47.3,1
22.4,85.9,1
28.0,95.7,1
36.1,70.2,1
30.8,87.6,1
27.2,70.2,0
29.5,65.4,1
30.2,82.9,1
31.5,68.3,1
28.4,90.8,1
23.8,96.7,0
32.3,98.0,1
22.0,98.0,0
28.8,82.9,1
30.4,69.7,1
22.9,68.1,0
32.0,80.2,1
30.2,84.7,1
34.8,59.0,1
24.8,66.3,0
25.4,89.0,0
25.3,73.0,0
27.5,80.2,1
29.4,74.4,0
33.3,60.8,1
26.1,83.3,0
29.1,76.3,0
26.7,79.5,0
28.0,63.9,0
28.0,67.1,0
24.7,87.0,0
