Light_Intensity,Temperature,PIR,Minute_Of_Day,Room_Occupancy_Count,LED_On
28.5,25.612499999999997,0,930,3,1
0.0,25.080000000000002,0,193,0,0
45.75,26.155,0,983,1,1
81.75,26.237499999999997,0,1129,2,1
73.0,25.55,0,755,1,1
79.75,26.157500000000002,0,1158,2,1
26.5,26.0775,0,922,0,0
17.0,25.049999999999997,0,524,0,0
4.5,24.9825,0,444,0,0
65.5,25.1425,0,675,1,1
0.0,25.3775,0,68,0,0
0.0,25.279999999999998,0,200,0,0
0.0,25.765,0,1104,0,0
64.75,25.9225,0,938,1,1
15.75,24.985,0,518,0,0
0.0,25.517500000000002,0,1176,0,0
0.0,25.439999999999998,0,1360,0,0
0.0,25.439999999999998,0,1275,0,0
0.0,25.1125,0,272,0,0
45.25,26.185,1,985,1,1
81.25,26.0325,1,1040,2,1
0.0,25.409999999999997,0,1342,0,0
42.75,26.0,0,901,0,0
91.0,26.0325,0,1001,2,1
1.75,25.0325,0,425,0,0
0.0,25.205,0,255,0,0
90.0,25.985,0,1004,2,1
0.0,25.2675,0,1358,0,0
81.5,26.252499999999998,1,1125,2,1
0.0,25.3625,0,60,0,0
65.25,25.065,1,664,1,1
145.25,26.735,1,1156,3,0
0.0,25.795,0,1097,0,0
19.5,25.014999999999997,0,571,0,0
0.0,25.25,0,250,0,0
26.0,25.145,0,621,0,0
69.0,25.55,0,753,1,1
51.75,25.9225,0,981,1,1
80.0,26.1875,1,1156,2,1
88.25,25.9525,1,1011,2,1
0.0,25.1275,0,329,0,0
0.0,25.22,0,244,0,0
55.75,26.14,0,946,1,1
0.0,25.4075,0,1434,0,0
56.25,26.14,1,945,1,1
80.0,26.1875,0,1163,2,1
32.25,25.2525,0,676,0,0
26.5,25.6725,0,933,3,1
61.75,25.9675,0,952,1,1
20.0,25.0475,0,576,0,0
145.25,26.6725,0,1152,3,0
92.25,25.939999999999998,0,995,2,1
0.0,25.235,0,295,0,0
0.0,25.279999999999998,0,140,0,0
90.0,25.955,1,1000,2,1
79.75,26.1875,1,1143,2,1
145.75,26.205,0,1112,3,0
49.75,25.9225,1,987,1,1
0.0,25.502499999999998,0,1233,0,0
0.0,25.142500000000002,0,360,0,0
0.0,25.5175,0,1177,0,0
0.0,25.1575,0,354,0,0
20.0,25.0625,0,574,0,0
90.75,26.0175,0,1001,2,1
92.0,25.939999999999998,0,995,2,1
82.75,26.0,1,1029,2,1
0.0,25.3475,0,118,0,0
87.25,25.97,1,1019,2,1
68.5,25.2175,0,685,1,1
18.0,25.0825,0,542,0,0
145.5,25.924999999999997,1,1021,3,0
16.75,25.0325,0,536,0,0
82.75,26.0325,0,1032,2,1
65.5,25.1575,0,678,1,1
0.0,25.0175,0,357,0,0
0.0,25.4225,0,1416,0,0
