Light_Intensity,Temperature,PIR,Minute_Of_Day,Room_Occupancy_Count,LED_On
62.0,24.9075,0,649,1,1
61.75,24.9225,0,650,1,1
62.0,24.9225,0,650,1,1
62.0,24.9375,0,651,1,1
62.25,24.9375,0,651,1,1
62.25,24.9525,0,652,1,1
62.0,24.9375,1,652,1,1
62.5,24.9525,0,653,1,1
64.0,24.9675,0,653,1,1
58.75,24.9675,1,654,1,1
64.25,24.967499999999998,1,654,1,1
64.75,24.982499999999998,1,655,1,1
64.5,25.0175,1,655,1,1
64.75,25.015,1,656,1,1
65.0,25.0325,1,656,1,1
65.0,25.0325,1,657,1,1
64.75,25.0325,0,657,1,1
64.5,25.015,1,658,1,1
65.0,25.015,1,658,1,1
65.25,25.0175,0,659,1,1
65.0,25.035,0,659,1,1
64.75,25.0325,0,660,1,1
65.25,25.05,0,660,1,1
65.25,25.05,0,661,1,1
65.75,25.035,0,661,1,1
65.25,25.05,1,662,1,1
65.25,25.05,1,662,1,1
65.0,25.065,1,663,1,1
65.0,25.065,1,663,1,1
65.25,25.065,1,664,1,1
65.0,25.080000000000002,0,665,1,1
65.25,25.080000000000002,0,665,1,1
65.0,25.080000000000002,1,666,1,1
65.0,25.080000000000002,0,666,1,1
65.0,25.1125,0,667,1,1
64.75,25.0975,0,667,1,1
64.75,25.0975,0,668,1,1
65.0,25.095000000000002,0,668,1,1
65.0,25.080000000000002,0,669,1,1
64.5,25.095000000000002,0,669,1,1
64.75,25.11,0,670,1,1
65.5,25.1125,0,670,1,1
65.75,25.127499999999998,0,671,1,1
65.5,25.1125,1,671,1,1
65.5,25.0975,0,672,1,1
66.25,25.127499999999998,0,672,1,1
67.0,25.127499999999998,0,673,1,1
66.75,25.1425,1,673,1,1
66.75,25.1425,0,674,1,1
66.5,25.125,0,674,1,1
65.5,25.1575,0,675,1,1
65.5,25.1425,0,675,1,1
66.5,25.1425,1,676,1,1
65.75,25.1425,0,676,1,1
65.75,25.1575,1,677,1,1
65.75,25.1575,0,677,1,1
65.5,25.1575,0,678,1,1
