Light_Intensity,Temperature,Humidity,Minute_Of_Day,LED_On
0.0,27.3,56.1,400,1
18.2,30.5,77.8,1148,1
326.8,31.5,88.4,847,0
370.5,25.7,71.8,643,0
109.4,26.9,80.6,477,1
18.0,32.9,46.1,1239,1
0.0,27.4,92.1,362,1
48.9,33.6,70.4,1092,1
57.9,32.6,62.2,1338,1
72.5,23.7,89.6,633,1
374.2,23.7,87.4,631,0
0.0,28.9,53.1,1428,1
19.1,31.9,70.4,1215,1
0.0,29.2,71.3,215,0
115.6,25.3,70.9,437,0
0.0,29.3,71.7,1393,1
0.0,29.9,56.1,149,0
0.0,29.5,72.7,1261,1
0.0,32.7,58.0,1212,1
0.0,31.8,61.9,86,0
0.0,28.5,52.3,1438,1
149.9,25.5,91.1,712,0
13.5,23.8,82.4,351,1
56.5,32.3,79.0,76,0
0.0,36.5,66.7,1230,1
8.0,31.1,58.8,14,0
409.5,26.9,92.8,716,0
0.0,34.6,68.4,1279,1
318.7,26.7,79.5,664,0
142.7,28.4,74.8,966,1
46.5,23.2,82.3,557,1
329.0,28.1,91.8,955,1
364.8,24.5,75.2,850,0
369.1,30.0,94.2,871,0
29.4,29.0,73.6,1129,1
369.1,26.8,94.4,686,0
72.8,30.0,64.7,1345,1
11.6,31.4,79.1,1176,1
0.0,29.1,59.7,164,0
38.4,29.1,73.4,267,0
20.0,33.2,80.2,1129,1
40.1,24.3,60.1,361,0
43.4,31.9,83.1,1219,1
189.4,22.0,68.4,483,0
5.6,25.8,83.7,372,1
14.1,30.7,73.6,1043,1
0.0,25.1,74.1,227,0
411.5,28.5,88.1,817,0
70.1,33.7,74.8,1077,1
140.5,23.6,72.9,519,1
0.0,30.9,68.0,1247,1
2.3,27.9,61.5,104,0
7.5,32.7,75.4,1194,1
407.8,25.6,84.3,868,0
0.0,24.7,68.6,417,1
149.4,24.4,74.8,695,1
60.9,25.1,74.3,421,1
335.9,29.2,83.0,880,0
0.0,25.8,60.3,137,0
368.8,28.3,87.7,828,0
87.0,30.9,78.2,967,1
0.0,26.6,75.8,237,0
61.9,30.0,80.6,1034,1
114.3,23.3,82.4,460,1
0.0,26.6,63.4,196,0
0.0,27.2,75.6,82,0
0.0,23.8,74.5,301,0
29.7,32.3,78.5,1265,1
263.3,23.0,89.1,568,0
13.8,28.7,66.3,206,0
20.9,31.6,63.1,1296,1
119.7,29.9,78.4,1068,1
138.1,25.8,82.4,693,1
0.0,28.2,59.7,77,1
243.5,22.6,73.6,581,0
90.7,26.3,83.3,189,0
168.2,22.9,73.8,817,1
338.1,25.1,66.7,958,0
113.6,26.2,86.7,883,1
78.9,22.0,71.8,436,1
372.1,28.3,82.3,838,0
2.0,34.0,55.4,1332,1
32.8,24.8,80.8,471,1
0.0,28.2,72.3,1259,1
87.2,26.2,89.7,947,1
398.8,26.7,89.4,761,0
85.9,30.5,75.3,1046,1
142.4,24.3,70.8,892,1
0.0,30.3,63.6,1201,1
24.9,28.7,58.5,1413,1
386.2,28.9,76.2,750,0
129.1,25.4,90.4,502,1
137.0,27.4,94.8,846,1
156.9,26.5,80.9,757,0
48.3,30.3,71.5,32,0
0.0,24.7,77.1,371,0
187.8,27.7,75.3,524,0
0.0,33.6,66.1,1391,1
9.4,33.0,49.3,18,0
364.3,25.8,72.1,668,0
64.7,23.5,81.0,429,1
5.0,28.3,72.9,1396,1
163.7,22.5,90.9,649,0
21.8,33.5,66.6,1119,1
184.6,27.5,87.1,998,0
81.4,23.8,82.9,460,1
0.0,25.2,70.0,129,0
2.5,27.8,65.2,131,0
12.1,27.9,60.8,14,0
18.9,27.3,75.9,270,0
112.2,23.6,88.5,554,1
0.0,22.9,73.3,387,1
182.4,22.1,83.4,483,0
15.6,24.8,78.7,395,1
60.5,24.1,79.2,534,1
120.3,23.0,72.0,420,1
172.3,24.5,85.2,717,0
48.6,28.0,72.3,103,0
0.0,25.6,58.1,56,0
103.4,29.0,91.3,933,0
0.0,28.4,60.5,1366,1
0.0,29.7,80.9,1336,0
0.0,31.5,71.7,1418,1
19.0,25.5,66.5,277,0
55.2,31.1,55.5,163,0
403.8,23.6,80.3,710,0
133.3,23.3,75.1,452,1
0.0,32.2,65.3,1319,0
0.0,27.9,61.0,140,0
0.0,32.1,65.3,25,0
0.0,29.3,65.6,165,0
0.0,28.8,63.7,275,1
145.1,24.8,92.1,844,1
350.8,28.5,93.6,812,0
29.3,26.0,66.5,120,0
0.0,30.9,72.6,52,0
0.3,25.5,75.1,245,0
7.0,30.1,61.5,1356,1
140.5,29.3,88.1,781,1
38.0,22.0,68.0,416,1
31.8,27.6,72.5,532,1
177.1,29.3,88.5,898,0
336.0,28.3,87.8,898,0
310.5,23.8,85.7,544,0
166.0,25.3,86.1,745,1
25.5,32.4,61.3,1120,1
0.0,22.0,63.0,410,1
87.2,23.9,83.0,1012,1
35.2,32.0,78.3,1186,0
3.3,25.5,62.2,192,0
43.6,24.2,83.6,251,0
13.9,28.3,61.2,1324,1
0.0,26.9,84.5,361,1
389.4,29.6,71.7,778,0
165.2,27.9,77.0,843,0
309.2,24.2,86.4,658,0
29.2,27.8,65.4,206,0
389.0,26.7,91.6,769,0
0.0,23.5,77.1,412,1
6.2,33.9,86.5,1089,1
0.0,34.1,63.9,1272,1
0.0,30.5,56.6,103,0
264.1,27.7,80.3,541,0
403.4,27.5,81.7,745,0
0.0,30.7,64.6,1214,1
16.4,25.3,65.5,345,0
416.7,27.1,73.2,716,0
402.6,23.1,95.0,669,0
56.5,31.3,60.5,1161,1
200.1,22.0,83.0,639,1
0.0,35.5,67.4,1344,1
0.0,25.4,77.9,374,1
0.0,31.2,64.6,12,0
9.9,27.0,53.5,7,0
68.6,34.1,66.1,1160,1
388.8,26.6,84.6,740,0
