Temperature,Humidity,Minute_Of_Day,LED_Energy_Wh,LED_On
19.89,47.59666666666671,1020,30,1
19.89,46.69333333333329,1030,30,1
19.89,46.3,1040,30,1
19.89,46.0666666666667,1050,40,1
19.89,46.33333333333329,1060,40,1
19.89,46.0266666666667,1070,40,1
19.89,45.7666666666667,1080,50,1
19.8566666666667,45.56,1090,50,1
19.79,45.5975,1100,40,1
19.8566666666667,46.09,1110,40,1
19.9266666666667,45.863333333333294,1120,70,1
20.066666666666695,46.3966666666667,1130,60,1
20.1333333333333,48.0,1140,50,1
20.26,52.7266666666667,1150,40,1
20.4266666666667,55.893333333333295,1160,10,1
20.566666666666695,53.893333333333295,1170,10,1
20.73,52.66,1180,10,1
20.8566666666667,53.66,1190,30,1
20.89,51.19333333333329,1200,30,1
20.89,49.8,1210,40,1
20.89,48.433333333333294,1220,20,1
20.963333333333296,47.6333333333333,1230,40,1
21.033333333333296,47.0633333333333,1240,40,1
21.1,46.59666666666671,1250,40,1
21.1333333333333,46.06,1260,30,1
21.2,45.8,1270,20,1
21.29,45.9,1280,30,1
21.3566666666667,45.8266666666667,1290,20,1
21.39,45.69,1300,20,1
21.5,45.33333333333329,1310,20,1
21.5,45.1266666666667,1320,20,1
21.533333333333296,44.9666666666667,1330,20,1
21.6,44.7666666666667,1340,20,1
21.6,44.56,1350,30,1
21.6,44.36,1360,20,1
21.6,44.2,1370,20,1
21.6,44.2,1380,20,1
21.6,44.2,1390,20,1
21.6,44.2,1400,10,1
21.5,44.23,1410,20,1
21.5,44.363333333333294,1420,20,1
21.39,44.433333333333294,1430,20,1
21.39,44.56,0,10,1
21.29,44.8266666666667,10,20,1
21.29,44.9666666666667,20,20,1
21.26,45.09,30,20,1
21.2,45.09,40,10,1
21.1666666666667,45.23,50,20,1
21.075,45.3725,60,20,1
21.0,45.4,70,20,1
21.0,45.59,80,10,1
20.9266666666667,45.59,90,0,0
20.89,45.66666666666671,100,0,0
20.89,46.06,110,0,0
20.79,46.2,120,0,0
20.79,46.2,130,0,0
20.7,46.26,140,0,0
20.7,46.2,150,0,0
20.6,46.2,160,0,0
20.6,46.1266666666667,170,0,0
20.566666666666695,46.0666666666667,180,0,0
20.5,46.2,190,0,0
20.5,46.29,200,0,0
20.4266666666667,46.23,210,0,0
20.39,46.29,220,0,0
20.39,46.363333333333294,230,0,0
20.29,46.5,240,0,0
20.29,46.545,250,0,0
20.23,46.5,260,0,0
20.2,46.433333333333294,270,0,0
20.2,46.56,280,0,0
20.1666666666667,46.363333333333294,290,0,0
20.1,46.363333333333294,300,0,0
20.1,46.5,310,0,0
20.033333333333296,46.36,320,0,0
20.0,46.29,330,0,0
20.0,46.29,340,0,0
20.0,46.23,350,0,0
19.9266666666667,46.23,360,0,0
19.89,46.23,370,10,1
19.89,46.43,380,0,0
19.89,46.6266666666667,390,0,0
19.89,46.7,400,10,1
19.89,46.863333333333294,410,0,0
19.823333333333295,46.863333333333294,420,10,1
19.8566666666667,46.93,430,10,1
19.79,46.79,440,20,1
19.79,46.895,450,20,1
19.79,47.4266666666667,460,20,1
19.79,48.3666666666667,470,30,1
19.79,48.66666666666671,480,20,1
19.79,48.533333333333296,490,30,1
19.89,50.0,500,10,1
19.89,48.7333333333333,510,0,0
19.89,48.0266666666667,520,0,0
19.89,47.6333333333333,530,0,0
19.8566666666667,47.0633333333333,540,0,0
19.79,46.6566666666667,550,0,0
19.79,46.33333333333329,560,0,0
19.79,46.0666666666667,570,0,0
19.76,45.863333333333294,580,0,0
19.7,45.79,590,0,0
19.7,45.6633333333333,600,0,0
19.7,45.59,610,0,0
19.73,47.793333333333294,620,0,0
19.79,48.793333333333294,630,10,1
19.89,47.94,640,0,0
19.89,47.16,650,0,0
19.89,46.7666666666667,660,0,0
20.0,46.2966666666667,670,0,0
20.0,45.963333333333296,680,0,0
20.0,46.223333333333294,690,0,0
20.0,45.963333333333296,700,0,0
20.0,45.723333333333294,710,0,0
20.0,45.6633333333333,720,0,0
